;company;industry;symbol;category;market_cap;current_value;high_52week;low_52week;book_value;price_earnings;dividend_yield;roce;roe;sales_growth_3yr
0;Adani Ports and Special Economic Zone Ltd.;SERVICES;ADANIPORTS;Nifty 50;69087.0;333.6;451.55;293.95;90.36;28.32;0.6;14.96;14.82;18.67
1;Asian Paints Ltd.;CONSUMER GOODS;ASIANPAINT;Nifty 50;119612.0;1247.0;1488.6;1082.0;84.29;58.5;0.7;38.71;25.47;8.44
2;Axis Bank Ltd.;FINANCIAL SERVICES;AXISBANK;Nifty 50;156906.0;610.65;676.9;477.5;246.92;5525.0;0.0;4.4;0.11;8.87
3;Bajaj Auto Ltd.;AUTOMOBILE;BAJAJ-AUTO;Nifty 50;76907.0;2658.0;3472.6;2425.0;654.55;17.89;2.26;31.96;22.63;5.2
4;Bajaj Finance Ltd.;FINANCIAL SERVICES;BAJFINANCE;Nifty 50;137747.0;2383.0;2995.1;1514.4;300.47;42.21;0.17;12.74;20.27;35.08
5;Bajaj Finserv Ltd.;FINANCIAL SERVICES;BAJAJFINSV;Nifty 50;87927.0;5525.0;7200.0;4444.0;197.95;275.44;0.03;5.91;5.01;6.09
6;Bharat Petroleum Corporation Ltd.;ENERGY;BPCL;Nifty 50;65587.0;302.35;543.6;239.0;164.35;7.87;6.3;21.76;24.61;-0.25
7;Bharti Airtel Ltd.;TELECOM;BHARTIARTL;Nifty 50;120741.0;302.05;565.0;277.0;251.22;;1.77;3.58;0.73;-1.11
8;Bharti Infratel Ltd.;TELECOM;INFRATEL;Nifty 50;48515.0;262.3;443.3;241.8;89.2;18.74;5.34;19.78;14.7;7.09
9;Cipla Ltd.;PHARMA;CIPLA;Nifty 50;48887.0;607.1;678.0;508.1;175.27;29.46;0.49;13.92;10.82;3.98
10;Coal India Ltd.;METALS;COALINDIA;Nifty 50;162355.0;261.55;316.55;256.0;20.45;17.4;6.31;68.07;69.84;7.32
11;Dr. Reddy's Laboratories Ltd.;PHARMA;DRREDDY;Nifty 50;40237.0;2423.0;2687.45;1888.0;725.85;35.03;0.83;5.09;4.58;-2.22
12;Eicher Motors Ltd.;AUTOMOBILE;EICHERMOT;Nifty 50;61827.0;22674.0;32209.5;20301.1;1970.0;31.48;0.48;62.74;41.21;43.5
